Percent households with children under 18 years receiving food stamps,Percent households with one or more people with a disability receiving food stamps,Percent households with only black/american receiving food stamps,Percent households with only asians receiving food stamps,Percent households with only hispanic/latinos receiving food stamps,zip,Educational,Religious,RES_RATIO,BUS_RATIO,OTH_RATIO
0.0,40.489999999999995,14.23,15.6,10.57,19102,20.0,79.0,0.10000000010000001,0.0999999999,0.10000000010000001
0.0,34.85,9.028571428571428,12.835714285714285,15.371428571428572,19103,45.0,158.0,0.07142857142857142,0.07142857150000001,0.07142857142857142
0.16499999999999998,56.02,59.11,2.055,8.175,19104,32.0,86.0,0.041666666666666664,0.041666666625,0.04166666675
0.0,43.55555555555556,23.38888888888889,20.5,11.11111111111111,19106,13.0,60.0,0.09090909090909091,0.09090909081818183,0.09090909100000001
0.0,53.675,29.0625,24.9375,13.1,19107,21.0,70.0,0.125000000125,0.125,0.124999999875
0.0,3.6,51.8,44.6,0.0,19109,,,1.0,1.0,1.0
0.4666666666666667,46.12777777777777,33.25,10.222222222222221,22.205555555555556,19111,8.0,28.0,0.05263157894736842,0.05263157894736842,0.05263157894736842
0.0,57.349999999999994,36.7,7.4,9.95,19112,4.0,4.0,0.25,0.25,0.25
3.4,58.6,0.0,0.0,0.0,19113,,,0.0,1.0,1.0
0.0,54.11666666666667,17.708333333333332,2.8333333333333335,8.883333333333333,19114,9.0,13.0,0.07692307692307693,0.076923077,0.07692307692307693
0.0,53.290909090909096,14.354545454545455,10.0,3.3454545454545452,19115,11.0,19.0,0.08333333325,0.08333333325,0.08333333341666667
0.0,38.922222222222224,19.322222222222223,12.8,3.577777777777778,19116,14.0,17.0,0.1111111111111111,0.1111111111111111,0.11111111088888889
0.0,32.111111111111114,54.32222222222222,5.277777777777778,4.388888888888889,19118,11.0,18.0,0.09090909081818183,0.09090909100000001,0.09090909072727273
0.0,43.79,84.86,1.31,3.29,19119,16.0,25.0,0.08333333333333333,0.08333333333333333,0.08333333325
0.8315789473684211,54.99473684210527,47.96315789473684,10.536842105263156,35.357894736842105,19120,8.0,22.0,0.05,0.05,0.05
0.10555555555555556,48.98888888888889,87.88333333333334,3.744444444444445,3.5999999999999996,19121,12.0,34.0,0.052631578894736845,0.05263157894736842,0.05263157894736842
0.0,61.775,49.25833333333333,6.383333333333333,35.699999999999996,19122,11.0,28.0,0.08333333333333333,0.08333333341666667,0.08333333333333333
0.0,49.18571428571429,62.15714285714286,4.728571428571429,12.257142857142856,19123,16.0,35.0,0.1,0.0999999999,0.1
0.3,57.590476190476195,32.46666666666666,2.3904761904761904,39.25238095238095,19124,17.0,25.0,0.04545454540909091,0.04545454540909091,0.045454545500000006
0.16,55.07333333333334,10.286666666666667,2.2066666666666666,42.53333333333333,19125,15.0,20.0,0.0625000000625,0.0625,0.0625
1.7555555555555555,47.2,80.44444444444444,4.855555555555556,9.066666666666666,19126,8.0,16.0,0.11111111099999998,0.11111111122222223,0.1111111111111111
0.0,70.575,19.8,4.55,0.0,19127,6.0,4.0,0.2,0.20000000019999997,0.20000000020000003
0.0,56.76666666666667,20.116666666666667,3.3333333333333335,5.391666666666667,19128,8.0,23.0,0.06666666673333334,0.0666666668,0.06666666666666667
0.15555555555555556,51.31111111111111,74.64444444444445,2.1555555555555554,1.2555555555555555,19129,4.0,10.0,0.1,0.0999999999,0.1
0.0,50.121428571428574,51.57142857142857,6.735714285714286,8.0,19130,17.0,36.0,0.06666666660000001,0.06666666660000001,0.06666666666666667
0.7315789473684212,54.31052631578948,76.91052631578947,2.3473684210526313,4.078947368421052,19131,25.0,26.0,0.04999999995,0.04999999995,0.04999999995
0.26875,62.0125,89.43125,2.525,2.9375,19132,8.0,23.0,0.05882352947058824,0.05882352958823529,0.058823529352941176
0.22307692307692306,72.5923076923077,37.40769230769231,4.723076923076923,53.169230769230765,19133,6.0,5.0,0.07692307684615385,0.07692307692307693,0.076923077
0.5888888888888889,66.94444444444444,12.244444444444445,1.338888888888889,53.97222222222222,19134,6.0,23.0,0.052631579000000005,0.05263157889473684,0.052631579000000005
2.109090909090909,50.3,22.12727272727273,7.154545454545455,25.872727272727275,19135,8.0,16.0,0.09090909109090908,0.09090909081818183,0.09090909100000001
1.15,42.85,16.79,7.44,17.630000000000003,19136,8.0,17.0,0.08333333333333333,0.0833333335,0.08333333316666668
0.5,63.48888888888889,16.7,0.7111111111111111,14.0,19137,5.0,8.0,0.11111111122222223,0.1111111111111111,0.1111111111111111
0.0,49.30714285714286,92.75714285714285,0.4928571428571429,2.15,19138,11.0,13.0,0.07142857142857142,0.07142857142857142,0.07142857128571428
0.6294117647058824,50.752941176470586,83.68235294117646,2.0647058823529414,0.9882352941176471,19139,5.0,28.0,0.05555555561111111,0.05555555555555555,0.05555555561111111
0.12608695652173912,60.94782608695652,59.28260869565217,1.756521739130435,36.40869565217391,19140,14.0,30.0,0.04,0.04000000008,0.039999999960000004
0.0,49.416666666666664,87.51666666666667,2.966666666666667,5.841666666666666,19141,,,0.0833333335,0.08333333333333333,0.08333333324999999
1.2222222222222223,48.01111111111111,80.6888888888889,5.033333333333333,7.111111111111111,19142,4.0,20.0,0.0999999999,0.0999999999,0.1
0.4272727272727273,48.57727272727273,77.90454545454546,1.6181818181818182,2.872727272727273,19143,16.0,42.0,0.043478260869565216,0.04347826082608696,0.043478261000000004
0.0,53.14,88.44500000000001,1.02,3.665,19144,24.0,38.0,0.04545454554545454,0.045454545454545456,0.04545454527272727
0.15333333333333332,51.693333333333335,33.806666666666665,11.106666666666666,4.886666666666667,19145,20.0,13.0,0.04545454540909091,0.04545454554545454,0.045454545454545456
0.0,48.19473684210526,44.852631578947374,3.473684210526316,9.784210526315789,19146,16.0,30.0,0.047619047619047616,0.04761904752380953,0.04761904766666667
0.0,54.3125,10.1625,9.73125,14.1875,19147,35.0,28.0,0.058823529411764705,0.058823529529411764,0.058823529352941176
0.0,52.285714285714285,6.442857142857143,20.785714285714285,14.935714285714285,19148,9.0,26.0,0.05882352958823529,0.058823529352941176,0.058823529411764705
1.6631578947368422,41.68421052631579,26.931578947368422,13.25263157894737,27.931578947368422,19149,12.0,17.0,0.052631578894736845,0.05263157894736842,0.05263157905263158
0.0,48.93571428571429,84.22857142857143,0.8857142857142858,1.4642857142857142,19150,4.0,12.0,0.07142857142857142,0.07142857135714285,0.07142857142857142
0.0,46.96363636363637,85.87272727272727,0.0,2.909090909090909,19151,9.0,25.0,0.08333333333333333,0.08333333341666667,0.08333333325
0.0,47.388888888888886,16.288888888888888,14.0,13.433333333333334,19152,7.0,17.0,0.1,0.1000000002,0.0999999999
1.72,34.52,79.5,6.92,11.58,19153,,,0.125,0.12499999987499999,0.12499999987499999
2.5777777777777775,57.91111111111112,27.577777777777776,9.366666666666667,9.766666666666667,19154,11.0,26.0,0.0999999999,0.1000000002,0.09999999999999999
